name,date,county,county_state,city,city_state,state,race,denomination
Bethany Covenant Church,1928,Dade,,Miami,,Florida,Swedish,Evangelical Mission Covenant Church of America
Century Assembly of God,1921,Escambia,,Bluff Springs,,Florida,White,Assembly of God
First Presbyterian Church,1882,Seminole,,Sanford,,Florida,White,Presbyterian
Friendship Church,1885,Gadsden,,Quincy,,Florida,African-American,Primitive Baptist
"Methodist Episcopal Church, South",1889,Indian River,,Sebastian,,Florida,White,Methodist Episcopal
Piney Grove African Methodist Episcopal Church,1935,Columbia,,Slocum,,Florida,African-American,Methodist
Fairfield Methodist Episcopal Church,1907,Duval,,Jacksonville,,Florida,White,Methodist
Saint Michael's and All Angels' Church,1887,Leon,,Tallahassee,,Florida,African-American,Protestant Episcopal Church in the United States of American
Enon Baptist Church,1890,Escambia,,Bay Springs,,Florida,White,General Baptist
Mount Pleasant African Methodist Episcopal Church,1870,Levy,,Chiefland,,Florida,African-American,African Methodist Episcopal
Wildwood Methodist Episcopal Church,1882,Sumter,,Wildwood,,Florida,White,"Methodist Episcopal Church, South"
Central Christian Church,1909,Duval,,Jacksonville,,Florida,White,United Church of Christ
Highland Baptist Church,1919,Escambia,,Cantonment,,Florida,White,General Baptist
Saint Luke's Missionary Baptist Church,1868,Duval,,Jacksonville,,Florida,African-American,Baptist
Falmouth Mission African Methodist Episcopal Church,1938,Suwannee,,Falmouth,,Florida,African-American,African Methodist Episcopal Church
New Salem,1892,Leon,,Tallahassee,,Florida,African-American,National Baptist Convention of the United States of America Inc.
First Baptist Church of Sampson City,1880,Bradford,,Sampson City,,Florida,White,Baptist
Spring Head Baptist Church,1905,Hillsborough,,Plant City,,Florida,White,Baptist
Chumuckla Methodist Church,1863,Santa Rosa,,Chumuckla,,Florida,White,Methodist
Glorious Holy Church of God in America,1938,Escambia,,Cantonment,,Florida,African-American,Holiness
Assembly of God of God of Milligan,1934,Okaloosa,,Milligan,,Florida,White,General Council of the Assemblies of God
Greenwood Methodist Church,1845,Jackson,,Greenwood,,Florida,White,Southern Methodist
Bethel Seventh Day Adventist Church,1902,Alachua,,Gainesville,,Florida,White,Adventist
Pleasant Grove Baptist Church,1901,Walton,,DeFuniak Springs,,Florida,White,Southern Baptist Convention
Wakulla Methodist Church,1899,Wakulla,,Wakulla,,Florida,White,"Methodist Episcopal Church, South"
The Community Church,1938,Orange,,Apopka,,Florida,White,Community Church
Bristol Christian Church,1890,Liberty,,Bristol,,Florida,White,"Christian Church, Disciples of Christ"
Mount Olive Missionary Baptist,1924,Martin,,Hobe Sound,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Fairfield Corps,1932,Duval,,Jacksonville,,Florida,White,Salvation Army
Pleasant Hill Baptist Church,1882,Suwannee,,Pinemount,,Florida,White,Southern Baptist Convention
Saint Mary's Baptist Church,1875,St. Johns,,St. Augustine,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Trinity Methodist Church,1926,Volusia,,Daytona Beach,,Florida,African-American,Methodist
"Seventh Day Baptist Church of Daytona Beach, FLA",1884,Volusia,,Daytona Beach,,Florida,White,Seventh Day Baptist General Conference
Evergreen Baptist Church,1937,Lafayette,,Mayo,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Junious Hill Church,1887,Jefferson,,Monticello,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Foley Missionary Baptist Church,1930,Taylor,,Foley,,Florida,White,Southern Baptist Convention
Macedonia Baptist Church,1909,Okaloosa,,Crestview,,Florida,African-American,National Baptist Convention of America Inc.
Olustee Church of God,1926,Baker,,Olustee,,Florida,White,Church of God
Bethel Temple Assembly of God,1926,Hillsborough,,Tampa,,Florida,White,Assemblies of God
Pine Log African Methodist Episcopal Church,1908,Bay,,Pine Log,,Florida,African-American,Methodist
Seventh-Day Adventist Church,1926,Marion,,Ocala,,Florida,White,Seventh-day Adventist Church
Union Spring Baptist Church,1878,Walton,,DeFuniak Springs,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Church of the Good Shepherd,1893,Duval,,Jacksonville,,Florida,White,Episcopal
Esto Baptist Church,1916,Holmes,,Esto,,Florida,White,Baptist
Church of Christ,1905,Hillsborough,,Antioch,,Florida,White,Churches of Christ
Baptist Church of San Mateo,1914,Putnam,,San Mateo,,Florida,White,Southern Baptist Convention
Rock Sink Baptist Church,1875,Dixie,,Fletcher,,Florida,White,Baptist
New Bethel Baptist Church,1907,Gadsden,,Jamison,,Florida,African-American,Primitive Baptist
Parrish Gospel Mission,1938,Manatee,,Parrish,,Florida,White,International Evangelistic Apostolic and Missionary Association
The Church of God,1924,Palm Beach,,Riviera,,Florida,African-American,Church of God
First Christian Church,1880,Volusia,,DeLand,,Florida,White,Disciples of Christ
Mount Olive Church,1875,Jefferson,,Monticello,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Macedonia Missionary Baptist Church,1916,Osceola,,Kissimmee,,Florida,African-American,National Baptist Convention of America Inc.
Holiness Church of Jesus Christ,1928,Indian River,,Winter Beach,,Florida,White,Apostolic
Little Flock Primitive Baptist Church,1909,Dade,,Miami,,Florida,White,Baptist
Holy Trinity Baptist Church,1937,Duval,,Jacksonville,,Florida,African-American,Baptist
Church of God in Christ,1931,Marion,,Ocala,,Florida,African-American,Church of God in Christ
Saint Mary Baptist Church,1912,Calhoun,,Blountstown,,Florida,African-American,Baptist
Lee County Tax Roll,1939,Lee,,null,,Florida,null,null
Saint Thomas Episcopal Church,1878,Lake,,Eustis,,Florida,White,The Episcopal Church
Antioch Baptist Church,1900,Suwannee,,Live Oak,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Gaskin Methodist Church,1918,Walton,,Gaskin,,Florida,White,"Methodist Episcopal Church, South"
Shady Grove Baptist Church,1933,Suwannee,,Dowling Park,,Florida,White,Southern Baptist Convention
New Jerusalem Missionary Baptist Church,1926,Duval,,Jacksonville,,Florida,African-American,Baptist
Saint Mary's Baptist Church,1910,Manatee,,Parrish,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Church of God,1918,Seminole,,Sanford,,Florida,African-American,Community Church
Saint Stephen's,1898,Walton,,Freeport,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Rose Hill Baptist Church,1932,Seminole,,Bookertown,,Florida,African-American,National Baptist Convention of America Inc.
Mill Creek Baptist Church,1915,Manatee,,Mill Creek,,Florida,White,Missionary Baptist
"Ferradale Methodist Episcopal Church, South",1925,Orange,,Orlando,,Florida,White,"Methodist Episcopal Church, South"
West Hill Church of Christ,1911,Escambia,,Pensacola,,Florida,White,Churches of Christ
Mount Pisgah Methodist Church,1883,Walton,,Freeport,,Florida,African-American,African Methodist Episcopal Church
Followes of Jesus Church,1932,Marion,,Moss Bluff,,Florida,White,Non-Denominational
Mayo Baptist Church,1894,Lafayette,,Mayo,,Florida,White,Southern Baptist Convention
"Yoga Spiritual Church, Incorporated",1930,Hillsborough,,Tampa,,Florida,White,Spiritualist
Unity Pentecostal Prayer House,1936,St. Johns,,St. Augustine,,Florida,African-American,Unity Pentecostal Prayer Band Sanctified
Christ Church Parish,1827,Escambia,,Pensacola,,Florida,White,The Episcopal Church
Free Methodist Church,1912,Polk,,Lakeland,,Florida,White,The Methodist Church
Hialeah Baptist Church,1926,Dade,,Hialeah,,Florida,White,Baptist
Florida Union Church,1924,Leon,,Tallahassee,,Florida,African-American,Florida Union Methodist Episcopal in American
Mt. Zion Methodist Church,1850,Holmes,,Graceville,,Florida,White,Methodist
First Methodist Episcopal Church,1886,Brevard,,Melbourne,,Florida,White,Methodist
"Emporia M.E. Church, South",1880,Volusia,,Emporia,,Florida,White,"Methodist Episcopal Church, South"
Gallilee Baptist Church,1930,Leon,,Chaires,,Florida,African-American,"Primitive Baptist Convention of the United States of America, Inc."
Mount Pleasant Baptist Church,1868,DeSoto,,Pine Level,,Florida,White,Baptist
Memorial Presbyterian Church,1824,St. Johns,,St. Augustine,,Florida,White,Presbyterian Church of the United States
Red Bay Church of Christ,1933,Walton,,Red Bay,,Florida,African-American,Churches of Christ
Our Savior Lutheran Church,1928,Palm Beach,,Lake Worth,,Florida,White,Evangelical Lutheran Synodical Conference of North America
Metropolitan African Methodist Episcopal Church,1928,Dade,,Miami,,Florida,African-American,Methodist
Baptist Community Church,1938,Sumter,,Cumpresco,,Florida,White,Southern Baptist Convention
Edgewood Methodist Church,1914,Hillsborough,,Tampa,,Florida,White,Methodist
New Salem Baptist Church,1880,Alachua,,Gainesville,,Florida,White,Baptist
First Baptist Church of Winter Garden,1888,Orange,,Winter Garden,,Florida,White,Southern Baptist Convention
Calvary Baptist Church,1910,Santa Rosa,,Milton,,Florida,White,Southern Baptist Convention
St. James Baptist Church,1914,Hardee,,Ona,,Florida,African-American,Baptist
North Pleasant Grove Baptist Church,1885,Alachua,,Santa Fe,,Florida,White,Baptist
Community Church,1926,Palm Beach,,Boynton,,Florida,White,Non-Denominational
First Presbyterian Church,1840,Madison,,Madison,,Florida,White,Presbyterian Church of the United States
Church of God,1923,DeSoto,,Nocatee,,Florida,White,Church of God
Epperson Memorial Church,1929,Duval,,Jacksonville,,Florida,White,Methodist
Church of the Brethren,1916,Highlands,,Sebring,,Florida,White,Brethren
Mt. Tabor A.M.E. Church,1880,Seminole,,Maitland,,Florida,White,African Methodist Episcopal
Bethlehem Methodist Episcopal Church,1870,Alachua,,Archer,,Florida,White,Methodist
Gospel Relief Missionary,1936,Dade,,Miami,,Florida,White,Nondenominational
New Port Richey Methodist Church,1914,Pasco,,New Port Richey,,Florida,White,Southern Methodist Church
Saint Matthew Primitive Baptist Church,1881,Columbia,,Lake City,,Florida,African-American,Baptist
New Hope Baptist Church,1892,Escambia,,Cantonment,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Little Rock African Methodist Episcopal Church,1898,Columbia,,Ellisville,,Florida,African-American,Methodist
Mount Moriah African Methodist Episcopal Church,1869,Marion,,Daisy,,Florida,African-American,African Methodist Episcopal Church
Evangelical Lutheran Church of The Resurrection,1925,Volusia,,Daytona Beach,,Florida,White,United Lutheran Church in America
Waukeenah Methodist Church,1849,Jefferson,,Waukeenah,,Florida,White,Southern Methodist
The Unitarian Church,1904,Duval,,Jacksonville,,Florida,White,Unitarian
"First Church of Christ, Scientist",1913,Pinellas,,St. Petersburg,,Florida,White,"Church of Christ, Scientist"
San Marco Methodist Episcopal Church,1895,Hillsborough,,Tampa,,Florida,White,Methodist Episcopal
Athens Baptist Church,1915,Columbia,,Lake City,,Florida,White,Baptist
"First Methodist Episcopal, North",1923,Indian River,,Fellsmere,,Florida,White,Methodist Episcopal
Saint Mathew's Holiness Church,1929,Escambia,,Pensacola,,Florida,African-American,Mount Sinai Holy Church of America Incorporated
Ballast Point Faith Assembly,1931,Hillsborough,,Tampa,,Florida,White,Assemblies of God
Pinemount Methodist Church,1890,Suwannee,,Pinemount,,Florida,White,"Methodist Episcopal Church, South"
Christian and Missionary Alliance,1940,Palm Beach,,Lake Worth,,Florida,White,Christian and Missionary Alliance
Watertown Baptist Church,1904,Columbia,,Watertown,,Florida,White,Baptist
Columbia County Tax Roll,1939,Columbia,,null,,Florida,null,null
Saint Luke No. 2,1919,Bay,,Highland City,,Florida,African-American,Baptist
First Baptist Church,1869,Columbia,,Lake City,,Florida,White,Baptist
Beulah Baptist Church,1913,Orange,,Winter Garden,,Florida,White,Southern Baptist Convention
Six Mile Creek Baptist Church,1897,Hillsborough,,Tampa,,Florida,White,Baptist
Advent Christian Church,1893,Suwannee,,Live Oak,,Florida,White,Advent Christian Church
Church of Christ,1922,Palm Beach,,West Palm Beach,,Florida,White,Churches of Christ
Trinity Protestant Episcopal Church,1889,Putnam,,Melrose,,Florida,White,Protestant Episcopal Church
New Prospect Baptist Church,1925,Madison,,Hopewell,,Florida,White,Southern Baptist Convention
Mount Bethel Missionary Baptist Church,1926,Seminole,,Sanford,,Florida,African-American,non-denominational
Missionary Baptist Church,1908,Calhoun,,Clarksville,,Florida,White,Baptist
Old Maple Grove Methodist Church,1910,Suwannee,,McAlpin,,Florida,White,Congregational Methodist Church
First Presbyterian Church,1856,Putnam,,Palatka,,Florida,White,Presbyterian Church of the United States
Beulah Baptist Church,1935,Columbia,,Slocum,,Florida,African-American,Baptist
Church of Jesus,1932,Lake,,Umatilla,,Florida,African-American,Church of God
Coleman's Chapel Baptist Church,1926,Sumter,,St. Catherine,,Florida,African-American,National Baptist Convention of America Inc.
Orange Hill Baptist Church,1889,Washington,,Wanson,,Florida,White,Southern Baptist Convention
Mount Carmel Baptist Church,1920,Brevard,,City Point,,Florida,African-American,Baptist
Euclid Methodist Church,1923,Pinellas,,St. Petersburg,,Florida,White,Southern Methodist Church
Philadelphia Missionary Baptist Church,1922,Duval,,Jacksonville,,Florida,African-American,Baptist
Noma Assembly of God,1926,Holmes,,Noma,,Florida,White,Assemblies of God
Saint Matthews Baptist Church,1921,Dade,,Miami,,Florida,African-American,Baptist
Morning Star Baptist Church,1893,Escambia,,Pensacola,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Etonia Primitive Baptist Church,1848,Putnam,,Palatka,,Florida,White,Suwannee Association
Union Congregational Church,1907,Hillsborough,,Tampa,,Florida,White,Congregational
Spiritualist Church of Christ,1935,Pinellas,,St. Petersburg,,Florida,White,National Spiritualist Association
Pinesville Methodist Episcopal Church,1869,Alachua,,Gainesville,,Florida,African-American,Methodist
Pinelevel,1927,Baker,,Baxter,,Florida,White,Methodist
Central Baptist Church,1936,Dade,,Miami,,Florida,White,Baptist
Fort Clark Baptist Church,1867,Alachua,,Gainesville,,Florida,African-American,Baptist
Magnolia Baptist Church,1911,Calhoun,,Magnolia Altha,,Florida,White,Baptist
Assembly of God,1929,Pasco,,Dade City,,Florida,White,General Council of The Assemblies of God
First Baptist Church of Graceville,1898,Jackson,,Graceville,,Florida,White,Southern Baptist Convention
Bethlehem Baptist Church,1930,Martin,,Salerno,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Christian Science Society,1897,Monroe,,Key West,,Florida,White,"Church of Christ, Scientist"
Galliver Baptist Church,1916,Okaloosa,,Galliver,,Florida,White,Southern Baptist Convention
Trinity Baptist Church,1904,St. Lucie,,Eden,,Florida,African-American,National Baptist Convention of America Inc.
Orsino Baptist Church,1934,Brevard,,Cocoa,,Florida,White,Baptist
Campbellville Methodist Church,1888,Alachua,,Campville,,Florida,White,Methodist
Zion Baptist Church,1935,Dade,,Miami,,Florida,African-American,Baptist
Mount Zion African Methodist Episcopal Church,1907,Bay,,West Bay,,Florida,African-American,Methodist
Mount Pilgrim Baptist Church,1904,Escambia,,Bell Head,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Mount Moriah Baptist Church,1866,Marion,,Ocala,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Church of Christ,1930,Duval,,Jacksonville,,Florida,African-American,Church of Christ
Fairfield Christian Church,1920,Duval,,Jacksonville,,Florida,White,"Christian Church, Disciples of Christ"
Seventh Day Adventist,1914,Volusia,,New Smyrna Beach,,Florida,White,Seventh-day Adventist Church
Mount Moriah Baptist Church,1866,Marion,,Ocala,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Elizabeth Swain Memorial Methodist Church,1886,Duval,,Jacksonville,,Florida,White,Methodist
Mount Zion Missionary Baptist Church,1901,Jefferson,,Lloyd,,Florida,African-American,National Baptist Convention of the United States of America Inc.
First Baptist Church,1866,Hillsborough,,Plant City,,Florida,White,Baptist
Mt. Zion African Methodist Episcopal Church,1868,Duval,,Jacksonville,,Florida,African-American,Methodist
New Rock Baptist Church,1933,Hamilton,,White Springs,,Florida,African-American,Baptist
Phoenix Baptist Church,1908,Duval,,Jacksonville,,Florida,White,Baptist
Elim Baptist Church,1924,Lake,,Groveland,,Florida,White,Southern Baptist Convention
Mount Carrie Baptist Church,1939,Columbia,,Lake City,,Florida,African-American,Baptist
Alton Methodist Epsicopalian Church,1905,Lafayette,,Mayo,,Florida,African-American,African Methodist Episcopal Church
Salem Baptist Church,1884,Polk,,Fort Meade,,Florida,White,Southern Baptist Convention
The Church of Jesus Christ of Latter-Day Saints Misson,1920,Franklin,,Apalachicola,,Florida,White,"Latter Day Saints, Mormon"
Woodhaven Community Church,1937,Orange,,Orlando,,Florida,White,non-denominational
Bethel African Methodist Episcopal Church,1884,Brevard,,Cocoa,,Florida,African-American,Methodist
Laymen's Home Missionary Movement,1899,Duval,,Jacksonville,,Florida,White,Nonsectarian
Angebilt Church of the Nazarene,1932,Orange,,Orlando,,Florida,White,General Council of the Assemblies of God
Bear Creek Bethel Church,1888,Gadsden,,Quincy,,Florida,African-American,Baptist
Molino Baptist Church,1907,Escambia,,Molino,,Florida,White,Southern Baptist Convention
Parrish Methodist Church,1889,Manatee,,Parrish,,Florida,White,"Methodist Episcopal Church, South"
Fundemental Church,1932,Pasco,,Zephyrhills,,Florida,White,Non-Denominational
Saint Mark's Missionary Baptist Church,1931,Pinellas,,St. Petersburg,,Florida,African-American,National Baptist Convention of the United States of America Inc.
New Jerusalem Primitive Baptist Church,1870,Alachua,,Newberry,,Florida,African-American,Baptist
Church of Christ,1894,Marion,,Moss Bluff,,Florida,White,Church of Christ
Liberty Hill Primitive Baptist Church,1898,Holmes,,Graceville,,Florida,White,Primitive Baptist
Gibsonton Baptist Church,1930,Hillsborough,,Gibsonton,,Florida,White,Baptist
Shiloh Baptist Church,1882,Levy,,Sumner,,Florida,White,Baptist
Saint Mary's Roman Catholic Church,1909,Suwannee,,Live Oak,,Florida,White,Roman Catholic
Safety Harbor Methodist Church,1886,Pinellas,,Safety Harbor,,Florida,White,"Methodist Episcopal Church, South"
First Baptist Church of Apopka,1878,Orange,,Apopka,,Florida,White,Southern Baptist Convention
First Presbyterian Church,1883,Walton,,DeFuniak Springs,,Florida,White,Presbyterian Church of the United States
Magnolia African Methodist Episcopal Church,1904,Dixie,,Old Town,,Florida,African-American,Methodist
The Methodist Episcopal Church,1912,Highlands,,Sebring,,Florida,White,Methodist Episcopal
Saint Johns Baptist Church,1918,St. Johns,,East Hastings,,Florida,African-American,National Baptist Convention of the United States of America Inc.
New Hope Primitive Baptist Church,1880,Franklin,,Carrabelle,,Florida,African-American,Primitive Baptist
First Baptist Church,1925,Palm Beach,,Boynton,,Florida,White,Southern Baptist Convention
University Baptist Church,1926,Dade,,Coral Gables,,Florida,White,Baptist
Saint Marks Progressive Baptist Church,1894,Charlotte,,Punta Gorda,,Florida,African-American,Baptist
Christian Missionary Alliance,1934,Duval,,Jacksonville,,Florida,White,Evangelical Christian Churches
St. Matthews Missionary Baptist Church,1900,Hillsborough,,Tampa,,Florida,White,Baptist
First Church of God,1934,Palm Beach,,West Palm Beach,,Florida,White,Church of God
Catholic Mission,1899,Lee,,Useppa,,Florida,White,Roman Catholic
First Baptist Church of Milton,1847,Santa Rosa,,Milton,,Florida,White,Southern Baptist Convention
Wildwood Assembly of God,1934,Sumter,,Wildwood,,Florida,White,General Council of the Assemblies of God
Saint John's Baptist Church,1908,Marion,,Ocala,,Florida,African-American,National Baptist Convention of the United States of America Inc.
First Baptist Church,1906,Polk,,Fort Meade,,Florida,White,Southern Baptist Convention
Sweetwater Baptist Church,1878,Suwannee,,Live Oak,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Saint Peters African Orthodox Church,1924,Dade,,Miami,,Florida,African-American,African Orthodox Church
First Congregational Church,1912,Dade,,Miami,,Florida,White,United Church of Christ
Friendship Missionary Baptist Church,1921,Taylor,,Perry,,Florida,White,Southern Baptist Convention
Palm Beach County Incorporations,1939,Palm Beach,,null,,Florida,null,null
"Verna Methodist Episcopal Church, South",1925,Manatee,,Verna,,Florida,White,"Methodist Episcopal Church, South"
First Church of God,1925,Dade,,Miami,,Florida,White,Church of God
Earnest Chapel,1874,Seminole,,Sanford,,Florida,White,"Methodist Episcopal Church, South"
Cromaton Baptist Church,1890,Bay,,Cromaton,,Florida,White,Baptist
Saint Paul African Methodist Episcopal Church,1900,Calhoun,,Blountstown,,Florida,African-American,Methodist
Mount Carmel Baptist Church,1921,Palm Beach,,Jupiter,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Tyler Chapel Baptist Church,1919,Gilchrist,,Tyler,,Florida,African-American,Baptist
Cherry Lake Methodist Church,1850,Madison,,Cherry Lake,,Florida,White,Southern Methodist Church
Triumph the Church and Kingdom of God in Christ,1927,Okaloosa,,Baker,,Florida,African-American,Triumph Holiness
Gant Lake Landmark Baptist Church,1921,Sumter,,Webster,,Florida,White,Southern Baptist Convention
Palm Beach and Broward County Incorporations,1939,Palm Beach and Broward,,null,,Florida,null,null
Summerville Missionary Baptist Church,1900,Duval,,Jacksonville,,Florida,African-American,Baptist
Mount Olive African Methodist Episcopal Church,1900,Bay,,Saint Andrew,,Florida,African-American,Methodist
First Baptist Church,1916,Polk,,Eagle Lake,,Florida,White,Southern Baptist Convention
Mounteocha Baptist Church,1897,Alachua,,LaCrosse,,Florida,White,Baptist
New Grove Baptist Church,1892,Columbia,,Fort White,,Florida,African-American,Baptist
Saint Luke's Episcopal Church,1890,Suwannee,,Live Oak,,Florida,White,The Episcopal Church
Freedman Baptist Church,1867,Suwannee,,Houston,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Geneva Baptist Church,1875,Seminole,,Geneva,,Florida,White,Southern Baptist Convention
Westminster Presbyterian Church,1924,Pinellas,,St. Petersburg,,Florida,White,Presbyterian Church of the United States
May Flower Church,1895,Gadsden,,Jamison,,Florida,African-American,African Methodist Episcopal
First Congregational Church,1877,Volusia,,Daytona Beach,,Florida,White,Congregational and Christian Churches
Church of God,1905,Pinellas,,St. Petersburg,,Florida,African-American,Church of God
Church of Christ,1932,Escambia,,Pensacola,,Florida,African-American,Churches of Christ
The Church of God,1925,Okeechobee,,Okeechobee,,Florida,White,Conventional Holiness
Bethel African Methodist Episcopal Church,1899,Bradford,,Hampton,,Florida,African-American,Methodist
Saint James Episcopal Church,1870,Columbia,,Lake City,,Florida,White,Episcopal
Miller Memorial Baptist Church,1927,Orange,,Orlando,,Florida,White,Southern Baptist Convention
"Keystone Methodist Episcopal Church, South",1868,Hillsborough,,Keystone,,Florida,White,Methodist Episcopal
Cora Baptist Church,1909,Santa Rosa,,Jay,,Florida,White,Southern Baptist Convention
"Biscayne Park Methodist Episcopal Church, South",1928,Dade,,Miami Shores,,Florida,White,Methodist
Summerville Advent Christian Church,1908,Dixie,,Cross City,,Florida,White,Adventist
Baldwin Avenue Church of Christ,1930,Walton,,DeFuniak Springs,,Florida,African-American,Church of God in Christ
Main Street Methodist Church,1902,Duval,,Jacksonville,,Florida,White,Methodist
Pentecostal Holiness Church,1916,Jackson,,Graceville,,Florida,White,Pentecostal Holiness Church
Church of God By Faith,1935,Marion,,Belleview,,Florida,African-American,Church of God by Faith
St. James African Methodist Episcopal Church,1908,Duval,,Jacksonville,,Florida,African-American,Methodist
Saint Matthew's Episcopal Church,1926,Palm Beach,,Delray Beach,,Florida,African-American,African Methodist Episcopal Church
Mt. Olive Baptist Church,1900,Sumter,,Webster,,Florida,African-American,National Baptist Convention of America Inc.
Rock Bluff Bethel African Methodist Episcopal Church,1866,Liberty,,Rock Bluff,,Florida,African-American,African Methodist Episcopal Church
Altha Primitive Baptist Church,1873,Calhoun,,Altha,,Florida,White,Baptist
Mount Zion Missionary Baptist Church,1907,Bay,,West Bay,,Florida,African-American,Baptist
"The First Baptist Church of Perry, Florida",1865,Taylor,,Perry,,Florida,White,Southern Baptist Convention
Community Church,1928,Volusia,,Samsula,,Florida,White,Non-Denominational
Gretna Presbyterian Church,1910,Gadsden,,Gretna,,Florida,White,Presbyterian
Mount Calvary Church,1925,Baker,,Glen Saint Mary,,Florida,African-American,Baptist
Oak Plains,1913,Walton,,DeFuniak Springs,,Florida,White,"Methodist Episcopal Church, South"
The Church of Christ,1922,Santa Rosa,,Milton,,Florida,White,Churches of Christ
"Adamsville M.E. Church, South",1850,Sumter,,Coleman,,Florida,White,"Methodist Episcopal Church, South"
Friendship Holiness,1930,Washington,,Chipley,,Florida,White,General Council of the Assemblies of God
Grants Tabernacle,1892,Washington,,Chipley,,Florida,African-American,African Methodist Episcopal
Hurst Chapel African Methodist Episcopal Church,1908,Dade,,Miami,,Florida,African-American,Methodist
Spring Hill Missionary Baptist Church,1916,Taylor,,Perry,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Trinity Church,1825,Leon,,Tallahassee,,Florida,White,"Methodist Episcopal, South"
Mount Ol ive Baptist,1922,Okeechobee,,Okeechobee,,Florida,African-American,National Baptist Convention of America Inc.
Anthony Baptist Church,1920,Columbia,,Lake City,,Florida,White,Baptist
China Hill Church,1886,Gadsden,,Havana,,Florida,African-American,Baptist
Church of God in Christ,1925,Osceola,,Holopaw,,Florida,African-American,Church of God in Christ in United States of American
Second Bethel Missionary Baptist Church,1914,Liberty,,Wilma,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Stafford'sPond Baptist Church,1858,Levy,,Montbrook,,Florida,White,Southern Baptist Convention
Lake Ellen Baptist Church,1870,Wakulla,,Crawfordville,,Florida,White,Southern Baptist Convention
New Salem Missionary Baptist,1904,Seminole,,Maitland,,Florida,African-American,National Baptist Convention of America Inc.
Mount Carmel Holiness Church,1934,Columbia,,Lake City,,Florida,African-American,Churches of the Living God
Sirmans Baptist Church,1909,Madison,,Sirmans,,Florida,White,Southern Methodist Church
New Mount Zion Baptist Church,1906,Wakulla,,Wakulla,,Florida,African-American,National Baptist Convention of the United States of America Inc.
The Church of God,1909,Hillsborough,,Tampa,,Florida,White,Church of God
"Trinity Methodist Episcopal Church, South",1885,Volusia,,Seville,,Florida,White,"Methodist Episcopal Church, South"
Antioch Church,1898,Gadsden,,Havana,,Florida,African-American,Primitive Baptist
Mount Sinai African Methodist Episcopal Church,1894,Columbia,,Columbia City,,Florida,African-American,Methodist
Matchett Methodist Episcopal Church Soth,1867,Sumter,,St. Catherine,,Florida,White,"Methodist Episcopal Church, South"
Church of God,1927,Sumter,,Webster,,Florida,African-American,Churches of God
Gordon Chapel,1938,Walton,,Paxton,,Florida,White,Congregational Methodist Church
Church of God,1924,Manatee,,Bradenton,,Florida,White,Church of God
Baptist Purity Church of Raiford,1938,Union,,Raiford,,Florida,White,Baptist Purity Association
The Church of God,1926,Baker,,Macclenny,,Florida,White,Church of God
Pigeon Creek Primitive Baptist Church,1921,Nassau,,Hilliard,,Florida,White,Saint Mary's River Association
Cold Water Church,1868,Santa Rosa,,Milton,,Florida,White,Church of Jesus Christ of Latter-Day Saints
Ramah Missionary Baptist Church,1880,Nassau,,Huntersville,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Hope Well Primitive Baptist Church,1937,Volusia,,Daytona Beach,,Florida,African-American,National Baptist Convention of America Inc.
Silver Hill Baptist Church,1938,Levy,,Settlement,,Florida,African-American,Baptist
Antioch Missionary Baptist Church,1875,Seminole,,St. Oviedo,,Florida,African-American,National Baptist Convention of America Inc.
Barton Lake Baptist Church,1903,Orange,,St. Cloud,,Florida,White,Southern Baptist Convention
Community Church,1926,Palm Beach,,Lantana,,Florida,White,Non-Denominational
Gethsemane Baptist Church,1934,Clay,,Hewitt,,Florida,African-American,Baptist
Full Gospel Missions,1934,Duval,,Jacksonville,,Florida,White,Nondenominational
Mount Zion Primitive Baptist Church,1927,Pinellas,,St. Petersburg,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Mount Zion Missionary Baptist Church,1931,Collier,,Sunniland,,Florida,African-American,Baptist
Galilee Baptist Church,1909,Columbia,,Lake City,,Florida,African-American,Baptist
Macedonia Seventh Day Adventist Church,1939,St. Lucie,,Ft. Pierce,,Florida,African-American,Seventh-day Adventist Church
Northside Baptist Church,1924,Dade,,Miami,,Florida,White,Baptist
Mount Zion African Methodist Episcopal Church,1870,Levy,,Raleigh,,Florida,African-American,African Methodist Episcopal
